icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
ab723d,N8369F,ROBINSON,Robinson Helicopter,R44,R44,0358,,H1P,,,,,Metro Networks Communications Inc,,,2023-05-31,,1998-01-01,,,LYCOMING 0-540 SERIES,false,false,false,,
ac9d5c,N9114X,,Cessna,182D,,18253514,,,,,,,Dk1 Aviation Llc,,,2023-01-31,,1961-01-01,,,CONT MOTOR O-470 SERIES,false,false,false,,Light (< 15500 lbs)
a25916,N250SH,LOT,Eurocopter,AS 350 B2,AS50,3874,,H1T,,,,,Sundance Helicopters Inc,,,2022-01-31,,2004-01-01,,,TURBOMECA ARRIEL 1D1,false,false,false,,No ADS-B Emitter Category Information
800737,VT-ANQ,BOEING,Boeing,Boeing 787 8,B788,36288,,L2J,,AIRINDIA,AIC,,Air India,,,,,,,,,false,false,false,,
43e969,M-KBBG,,Gulfstream Aerospace,G450,G450,4262,,,,,,,Empire Aviation Group,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
4a09ab,YR-BMK,BOEING,Boeing,737NG 82R/W,B738,40876,,L2J,Blue Air,BLUE TRANSPORT,JOR,0B,Blue Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
aa7427,N77296,BOEING,Boeing,737-824,B738,34002,,L2J,,UNITED,UAL,,United Airlines Inc,,,2023-08-31,,2005-01-01,,,CFM INTL. CFM56 SERIES,false,false,false,,Large (75000 to 300000 lbs)
7c72a9,VH-WXN,RAYTHEON,Beech,King Air B200,BE20,BB-1063,,L2T,,,,,Brescon P/l,,,,,,,,,false,false,false,,Light (< 15500 lbs)
a756fb,N572MS,GULFSTREAM AEROSPACE,Gulfstream Aerospace,G-IV,GLF4,1352,,L2J,,,,,Interface Operations Llc,,,2023-04-30,,1998-01-01,,,ROLLS-ROYC TAY 611SER,false,false,false,,
0d042b,XA-VOK,AIRBUS,Airbus,A319 133,A319,3450,,L2J,,VOLARIS,VOI,,Volaris,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4783cf,LN-RNO,BOEING,Boeing,737NG 783,B737,28316,,L2J,,SCANDINAVIAN,SAS,,Scandinavian Airlines System,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a7c777,N600CF,CESSNA,Bombardier Inc,BD-100-1A10,C56X,20191,,L2J,,,,,Tvpx Aircraft Solutions Inc Trustee,,,2024-04-30,,2008-01-01,,,HONEYWELL AS907-1-1A,false,false,false,,Small (15500 to 75000 lbs)
ae4d66,10-0213,MCDONNELL DOUGLAS,Boeing,C-17A Globemaster III,C17,P213,,L4J,United States Air Force,AIR CHIEF,AIO,,United States Air Force,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
aa6319,N769BJ,RAYTHEON,Raytheon Aircraft Company,B300,B350,FL-156,,L2T,,,,,Rocket Air Llc,,,2023-11-30,,1997-01-01,,,P&W PT6A SER,false,false,false,,Light (< 15500 lbs)
48455a,PH-BGC,BOEING,Boeing,737NG 8K2/W,B738,30361,,L2J,,KLM,KLM,,Klm Royal Dutch Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7c7a49,VH-YFV,BOEING,Boeing,737NG 8FE/W,B738,41030,,L2J,,VIRGIN,VOZ,,Virgin Australia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
0d0ac7,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
800742,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
400d90,G-EZAF,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,2715,U28668,L2J,Easyjet,EASY,EZY,U2,Easyjet Airline,,2006-03-16,,,2006-01-01,,,2 x CFM CFM56-5B5/P<br>,false,false,false,,No ADS-B Emitter Category Information
43eaba,M-MAVP,,Bombardier,Global 6000,GL6T,9742,,,,,,,Avcon Jet Ag,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
aa94bf,N781FE,CESSNA,Cessna,208B,C208,208B0278,,L1T,Federal Express,FEDEX,FDX,FX,Federal Express Corp,,,2021-07-31,,1991-01-01,,,P&W PT6A SER,false,false,false,,
4951d9,CS-TNY,AIRBUS,Airbus,A320 214,A320,4742,,L2J,Tap Portugal,AIR PORTUGAL,TAP,TP,Tap Portugal,,,,,2011-01-01,,,CFMI CFM56-5B4,false,false,false,,No ADS-B Emitter Category Information
800c6c,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
861ed6,JA614A,BOEING,Boeing,767 381ER,B763,33508,,L2J,,ALL NIPPON,ANA,,All Nippon Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3944e1,F-GRHB,AIRBUS,Airbus,A319 111,A319,985,AF1085,L2J,Air France,AIRFRANS,AFR,AF,Air France,,,,,1999-03-18,1999-03-05,,2 x CFMI CFM56-5B5/3,false,false,false,,No ADS-B Emitter Category Information
008080,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
800cd2,VT-IHT,AIRBUS,Airbus Industrie,,A320,2388,,L2J,Indigo Airlines,IFLY,IGO,6E,Wings Capital Partners,,,,,,,,,false,false,false,,
71004b,HZ-AQB,AIRBUS,Airbus,A330 343E,A333,1127,,L2J,,SAUDIA,SVA,,Saudi Arabian Airlines,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
4ba869,TC-JCI,AIRBUS,Airbus,A330 243F,A332,1442,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4691c6,SX-DNF,AIRBUS,Airbus Industrie,Airbus A321-231,A321,2553,,L2J,Aegean Airlines,AEGEAN,AEE,A3,Aegean Airlines,,,,,,,,IAE V2533-A5,false,false,false,,No ADS-B Emitter Category Information
0d0ad2,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
4951e4,CS-TOD,AIRBUS,Airbus,A340 312,A343,91,,L4J,,AIR PORTUGAL,TAP,,Tap Portugal,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4cabb8,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
440953,OE-IQC,AIRBUS,Airbus Industries,A320-214,A320,7019,,L2J,,,,,Eurowings Europe Gmbh,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4ab549,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
8a0261,PK-LHO,BOEING,Boeing,737NG 9GPER/W,B739,37278,,L2J,,LION INTER,LNI,,Lion Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
e80602,CC-AWB,AIRBUS,Airbus,A320 232SL,A320,7502,,L2J,Jat,ROCKSMART,JAT,JA,Jetsmart,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a631d1,N499CZ,BEECH,Beech,99A,BE99,U-81,,L2T,,,,,N499cz Llc,,,2022-07-31,,1969-01-01,,,P&W PT6A SER,false,false,false,,Light (< 15500 lbs)
76ce63,9V-SSC,AIRBUS,Airbus,A330 343E,A333,1544,,L2J,,SINGAPORE,SIA,,Singapore Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7c762b,VH-XML,BOEING,Boeing,737 376SF,B733,23486,,L2J,,Far Eastern,EFA,,Qantas Freight,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
780e97,B-6809,BOEING,Boeing,737NG 86N/W,B738,43409,,L2J,Lucky Air,LUCKY AIR,LKE,,Lucky Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7c0ff2,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
4cacae,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
484175,PH-BFY,BOEING,Boeing,747 406 SCD,B744,30455,,L4J,,KLM,KLM,,Klm Royal Dutch Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3985a3,F-HBND,AIRBUS,Airbus,A320 214,A320,4604,,L2J,,AIRFRANS,AFR,,Air France,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a009c0,N101PR,,Pryde W A/rust B R,RV-6A,,23188,,,,,,,Sokol Steven M,,,2023-06-30,,2001-01-01,,,LYCOMING IO-320 SERIES,false,false,false,,Light (< 15500 lbs)
800448,VT-AXW,BOEING,Boeing,737NG 8HG/W,B738,36334,,L2J,,EXPRESS INDIA,AXB,,Air India Express,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7c146f,VH-EBL,AIRBUS,Airbus Industrie,A330-203,A332,0976,,L2J,,QANTAS,QFA,,Qantas Airways Limited,,,,,2008-01-01,,,2x General Electric Company CF6-80E1A3,false,false,false,,Heavy (> 300000 lbs)
e48c04,PR-GUR,BOEING,Boeing,737NG 8HX/W,B738,38877,,L2J,,GOL TRANSPORTE,GLO,,Gol Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7811a1,B-1473,BOEING,Boeing,737NG 800/W,B738,61361,,L2J,,,,,9 Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4249c3,VQ-BJT,BOEING,Boeing,737 524/W,B735,28900,,L2J,,UTAIR,UTA,,Ut Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4023b1,G-BCTK,REIMS,Reims Aviation Sa,CESSNA FR172J Reims Rocket,C172,0546,,L1P,,,,,Private,,2009-11-19,,,1975-01-01,,,1 x CONTINENTAL MOTORS CORP IO-360-J&nbsp;&nbsp;( MCCAULEY 2A34C209/78CCA-2 )<br>,false,false,false,,Light (< 15500 lbs)
a91b2a,N686T,CESSNA,Cessna,750,C750,750-0211,,L2J,,,,,Blackbay Investments Llc,,,2023-09-30,,2003-01-01,,,ROLLS-ROYC AE 3007C1,false,false,false,,Small (15500 to 75000 lbs)
a535ed,N435CK,,Textron Aviation Inc,T206H,,T20609223,,,,,,,N Flight Llc,,,2022-02-28,,2016-01-01,,,LYCOMING TIO-540-AJ1A,false,false,false,,
42425a,VP-BYC,BOEING,Boeing,757 231,B752,30338,,L2J,,,,,Azur Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a125f9,N173SY,EMBRAER,Embraer S A,ERJ 170-200 LR,E75L,17000486,,L2J,,SKYWEST,SKW,,Skywest Airlines Inc,,,2021-06-30,,2015-01-01,,,GE CF34-8E5,false,false,false,,Large (75000 to 300000 lbs)
344211,EC-LQP,AIRBUS,Airbus,A330 243,A332,526,,L2J,,EUROPA,AEA,,Air Europa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a1cf41,N2156B,,Piper,PA-44-180,,44-7995100,,,,,,,Tassmanian Aircraft Llc,,,2021-08-31,,1978-01-01,,,LYCOMING O&VO-360 SER,false,false,false,,Light (< 15500 lbs)
abc582,N858EP,,Textron Aviation Inc,525B,,525B0500,,,,,,,Buckys Express Llc,,,2022-02-28,,2016-01-01,,,WILLIAMS FJ44-3A,false,false,false,,
7c6719,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
a39827,N3300,EMBRAER,Embraer S A,EMB-505,E55P,50500076,,L2J,,,,,Bank Of Utah Trustee,,,2021-07-31,,2012-01-01,,,P&W CANADA PW535E,false,false,false,,
7580ef,RP-C7775,BOEING,Boeing,777 3F6ER,B77W,35555,,L2J,,PHILIPPINE,PAL,,Philippine Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7c6bb9,VH-VKB,BOEING,Boeing,787 8,B788,36228,,L2J,,JETSTAR,JST,,Jetstar Airways,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
e492cf,PR-OBH,AIRBUS,Airbus,A320 251NSL,A20N,7484,,L2J,,OCEANAIR,ONE,,Avianca Brasil,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ac7c21,N903UP,,Cessna,750,,750-0120,,,,,,,Textron Financial Corp,,,2021-07-31,,2000-01-01,,,ALLISON AE3007C SER,false,false,false,,
4ca9ed,EI-EVP,BOEING,The Boeing Company,BOEING 737-8AS,B738,40293,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2012-04-25,,,2012-01-01,,,2x CFM CFM56-7B,false,false,false,,No ADS-B Emitter Category Information
89406e,A9C-AM,AIRBUS,Airbus,A320 214,A320,4827,,L2J,,GULF AIR,GFA,,Gulf Air,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
780ff3,B-7976,BOEING,Boeing,737NG 85N/W,B738,61428,,L2J,,SHANDONG,CDG,,Shandong Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
400cd7,G-EZIX,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,2605,,L2J,,EASY,EZY,,Easyjet Airline,,2005-11-17,,,2005-01-01,,,2 x CFM CFM56-5B5/P<br>,false,false,false,,No ADS-B Emitter Category Information
a83d67,N63WR,LEARJET,Bombardier Inc,BD-100-1A10,LJ75,20718,,L2J,,,,,Four S's Llc,,,2023-12-31,,2017-01-01,,,HONEYWELL AS907-2-1A,false,false,false,,Small (15500 to 75000 lbs)
aded77,N997JL,A321,Airbus,A321-231(SL),,8473,,,Jetblue Airways,JETBLUE,JBU,B6,Jetblue Airways Corp,,,2021-09-30,,2018-01-01,,,IAE V2533-A5,false,false,false,,
48435b,P4-KCU,BOEING,Boeing,757 23N/W,B752,27971,,L2J,,ASTANALINE,KZR,,Air Astana,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a8de7d,N6703D,BOEING,Boeing,757-232,B752,30234,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2022-06-30,,2000-01-01,,,P & W PW2037,false,false,false,,
c03bf5,C-FWSI,BOEING,Boeing,737-7CT (Boeing),B737,36691,,L2J,,WESTJET,WJA,,Westjet,,2009-08-07,,,,,,,false,false,false,,No ADS-B Emitter Category Information
471f7d,HA-LYB,AIRBUS,Airbus,A320 232SL,A320,6093,,L2J,,WIZZ AIR,WZZ,,Wizz Air,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
781169,B-1445,BOEING,Boeing,737NG 800/W,B738,42973,,L2J,,Hebei Air,HBH,,Hebei Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
780f41,B-8397,AIRBUS,Airbus,A321 211SL,A321,6960,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a9f0ce,N74GG,GULFSTREAM AEROSPACE,Gulfstream Aerospace,G-IV,GLF4,1331,,L2J,,,,,Dwm Logistics Llc,,,2023-01-31,,1998-01-01,,,ROLLS-ROYC TAY 611-8,false,false,false,,Small (15500 to 75000 lbs)
a7c583,N60GG,,Gulfstream Aerospace,G-IV,,1351,,,,,,,Tvpx Aircraft Solutions Inc Trustee,,,2022-10-31,,1998-01-01,,,ROLLS-ROYC TAY 611SER,false,false,false,,Small (15500 to 75000 lbs)
4008ae,G-EUPO,AIRBUS,Airbus Industrie,AIRBUS A319-131,A319,1279,,L2J,,SPEEDBIRD,BAW,,British Airways,,2000-08-01,,,2000-01-01,,,2 x INTERNATIONAL AERO ENGINE V2522-A5<br>,false,false,false,,No ADS-B Emitter Category Information
a61d00,N493UA,AIRBUS,Airbus,A320-232,A320,1821,,L2J,,UNITED,UAL,,United Airlines Inc,,,2022-04-30,,2002-01-01,,,IAE V2500SERIES,false,false,false,,Large (75000 to 300000 lbs)
abd69d,N862DN,BOEING,Boeing,737-932ER,B739,31972,,L2J,,DELTA,DAL,,Wells Fargo Trust Co Na Trustee,,,2022-07-31,,2016-01-01,,,CFM INTL CFM56-7B27E,false,false,false,,
c00b9c,C-FEKH,EMBRAER,Embraer Empresa Brasileira De Aeronautica S.a.,ERJ 170-200 SU (Embraer),E75S,17000102,,L2J,,Maple,SKV,,Sky Regional Airlines Inc. /lignes A�riennes Sky Regional Inc.,,2013-07-02,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
acb858,N919CM,EUROCOPTER-KAWASAKI,Sikorsky,S-76C-2,EC45,760607,,H2T,,,,,Phi Aviation Llc,,,2022-09-30,,2005-01-01,,,TURBOMECA ARRIEL 2S2,false,false,false,,
ace063,N929JB,AIRBUS,Airbus Industrie,A321-231,A321,6031,,L2J,,JETBLUE,JBU,,Jetblue Airways Corp,,,2023-04-30,,2014-01-01,,,IAE V2533-A5,false,false,false,,Large (75000 to 300000 lbs)
e80313,CC-ABV,AIRBUS,Airbus,A320 233,A320,1400,,L2J,Sku,AEROSKY,SKU,H2,Sky Airline,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7c6b12,VH-VFO,AIRBUS,Airbus,A320 232SL,A320,5631,,L2J,,JETSTAR,JST,,Jetstar Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
343315,EC-LEU,AIRBUS,Airbus,Airbus A340 642,A346,960,,L4J,Iberia Airlines,IBERIA,IBE,IB,Iberia,,,,,,,,,false,false,false,,
a12bcd,N175AN,BOEING,Boeing,757-223,B752,32394,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2022-02-28,,2001-01-01,,,ROLLS-ROYC RB.211 SERIES,false,false,false,,No ADS-B Emitter Category Information
780606,B-5265,BOEING,Boeing,737NG 79P/W,B737,36767,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
42491e,VQ-BCM,AIRBUS,Airbus,A320 214,A320,3923,,L2J,,AEROFLOT,AFL,,Aeroflot Russian Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
c07fbe,C-GWJT,BOEING,Boeing,737-7CT (Boeing),B737,40338,,L2J,,WESTJET,WJA,,Westjet,,2011-01-27,,,,,,,false,false,false,,
a06bd3,N126UW,AIRBUS,Airbus,A320-214,A320,4149,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2021-12-31,,2009-01-01,,,CFM INTL CFM56-5B4,false,false,false,,No ADS-B Emitter Category Information
a8b9b3,N661UA,BOEING,Boeing,767-322,B763,27158,,L2J,,UNITED,UAL,,United Airlines Inc,,,2023-01-31,,1993-01-01,,,P&W PW4000 SER,false,false,false,,No ADS-B Emitter Category Information
a3d322,N3456Y,,Cessna,180H,,18051956,,,,,,,Americas Best Campground Inc,,,2024-04-30,,1968-01-01,,,CONT MOTOR O-470 SERIES,false,false,false,,Light (< 15500 lbs)
780066,B-6014,AIRBUS,Airbus,A319 115,A319,2525,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
c02eb9,C-FRSA,BOEING,The Boeing Company,787-9 (Boeing),B789,37175,,L2J,,AIR CANADA,ACA,,Air Canada,,2017-01-05,,,,,,,false,false,false,,Heavy (> 300000 lbs)
a99a4a,N718FH,HONDA,Honda Aircraft Co Llc,HA-420,HDJT,42000041,,L2J,,,,,315sa Llc,,,2023-04-30,,,,,,false,false,false,,Light (< 15500 lbs)
a11abf,N170SB,,Cessna,170B,,25140,,,,,,,Macbean Stan,,,2023-10-31,,1952-01-01,,,CONT MOTOR C145 SERIES,false,false,false,,Light (< 15500 lbs)
780bed,B-1937,BOEING,Boeing,737NG 87L/W,B738,37619,,L2J,,SHENZHEN AIR,CSZ,,Shenzhen Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
89649e,A6-APJ,AIRBUS,Airbus,A380 861,A388,237,,L4J,,ETIHAD,ETD,,Etihad Airways,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
ab5d68,N831PT,RAYTHEON,Raytheon Aircraft Company,B300,B350,FL-487,,L2T,,,,,L & M Radiator Inc,,,2023-08-31,,,,,,false,false,false,,
8514f8,JA323J,BOEING,Boeing,737NG 846/W,B738,35352,,L2J,,J-BIRD,JAL,,Japan Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
89633b,A6-ANI,AIRBUS,Airbus,A320 214,A320,5017,,L2J,,ARABIA,ABY,,Air Arabia,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
895052,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
780611,B-6642,AIRBUS,Airbus,A321 231,A321,4198,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ada43a,N97833,,Cessna,182Q,,18267215,,,,,,,Linton David,,,2023-03-31,,1979-01-01,,,CONT MOTOR O-470 SERIES,false,false,false,,Light (< 15500 lbs)
71c070,HL8070,BOEING,Boeing,737NG 8AS/W,B738,37535,,L2J,,TWAY AIR,TWB,,T Way Air,,,,,,,,,false,false,false,,
8007c1,VT-JFH,BOEING,Boeing,737NG 8AL/W,B738,39058,,L2J,,JET AIRWAYS,JAI,,Jet Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a68ad4,N520VL,AIRBUS,Airbus,A320-233,A320,5595,,L2J,,VOLARIS,VOI,,Wells Fargo Trust Co Na Trustee,,,2022-05-31,,2013-01-01,,,IAE V2527E-A5,false,false,false,,No ADS-B Emitter Category Information
a4e308,N414AM,,Cessna,414A,,414A0850,,,,,,,Red Fox Aviation Llc,,,2023-06-30,,1982-01-01,,,CONT MOTOR TSIO-520 SER,false,false,false,,Light (< 15500 lbs)
4ca6fe,EI-EBA,BOEING,The Boeing Company,BOEING 737-8AS,B738,37516,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2009-01-20,,,2009-01-01,,,2x CFM CFM56-7B,false,false,false,,No ADS-B Emitter Category Information
740821,JY-BAA,BOEING,Boeing,Boeing 787 8,B788,37983,,L2J,,JORDANIAN,RJA,,Royal Jordanian Airlines,,,,,,,,,false,false,false,,
ac9716,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
342212,EC-JFX,AIRBUS,Airbus,A340 642,A346,672,,L4J,,IBERIA,IBE,,Iberia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
aa7e99,N77542,BOEING,Boeing,737-800,B738,63647,,L2J,,UNITED,UAL,,United Airlines Inc,,,2023-09-30,,2017-01-01,,,CFM INTL CFM56-7B26E,false,false,false,,Large (75000 to 300000 lbs)
a357d9,N314YF,,Cirrus Design Corp,SR20,,2302,,,,,,,Y In The Sky Llc,,,2021-12-31,,2015-01-01,,,CONT MOTOR IO-360-ES,false,false,false,,Light (< 15500 lbs)
ad9bc8,N976UY,AIRBUS,Airbus,A321-231,A321,5235,,L2J,,AMERICAN,AAL,,Wells Fargo Trust Co Na Trustee,,,2021-07-31,,2012-01-01,,,IAE V2533-A5,false,false,false,,No ADS-B Emitter Category Information
4caaba,EI-ISE,BOEING,The Boeing Company,BOEING 777-243,B772,32856,,L2J,,ALITALIA,AZA,,Aircraft Purchase Company No.12 Limited,,2012-12-19,,,2002-01-01,,,2x GENERAL ELECTRIC COMPANY GE90-94BG12,false,false,false,,No ADS-B Emitter Category Information
3c664f,D-AIRO,AIRBUS,Airbus,A321 131,A321,563,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
0a007a,7T-VKJ,BOEING,Boeing,737NG 8D6/W,B738,40864,,L2J,,AIR ALGERIE,DAH,,Air Algerie,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
0c20cf,HP-1855CMP,BOEING,Boeing,737NG 800/W,B738,44157,,L2J,,COPA,CMP,,Copa Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
ac9ca6,N911ZE,SWEARINGEN,Beech,King Air C90B,BE9L,LJ-1358,,L2T,,,,,Hawaii Life Flight,,,,,,,,,false,false,false,,
3c66b5,D-AIUU,AIRBUS,Airbus,Airbus A320 214SL,A320,7158,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
0c2095,HP-1834CMP,BOEING,Boeing,737NG 8V3/W,B738,39885,4588,L2J,Copa Airlines,COPA,CMP,CM,Copa Airlines,,2013-09-04,,,2013-01-01,,,,false,false,false,,No ADS-B Emitter Category Information
4ca6b2,EI-FSL,ATR,Atr-gie Avions De Transport Regional,ATR 72-212 A,AT76,1339,,L2T,,,,,Stobart Air Unlimited Company,,2016-08-26,,,2016-01-01,,,2x PRATT & WHITNEY CANADA PW127M,false,false,false,,No ADS-B Emitter Category Information
3c4aac,D-ABUL,BOEING,Boeing,767 31BER/W,B763,26259,,L2J,,CONDOR,CFG,,Condor Flugdienst,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4ba8f3,TC-JGS,BOEING,Boeing,737NG 8F2/W,B738,34416,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ad1a4e,N943WN,BOEING,Boeing,737-7H4,B737,36913,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2022-12-31,,2010-01-01,,,CFM INTL CFM56-7B24/3,false,false,false,,No ADS-B Emitter Category Information
76cee2,9V-SWB,BOEING,Boeing,777 312ER,B77W,33377,,L2J,,SINGAPORE,SIA,,Singapore Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
aa1a1d,N750AV,AIRBUS,Airbus,A320-214,A320,7120,,L2J,, S.A.,AVA,,Wells Fargo Trust Co Na Trustee,,,2022-05-31,,2016-01-01,,,CFM INTL CFM56-5B4/3,false,false,false,,Large (75000 to 300000 lbs)
800626,VT-IED,AIRBUS,Airbus,A320 232,A320,4630,,L2J,,IFLY,IGO,,Indigo Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a0062c,N100RA,,Beech,B-60,,P405,,,,,,,Bonanza Holdings Group Llc,,,2021-11-30,,1977-01-01,,,LYCOMING TI0-541 SER,false,false,false,,
78036e,B-6319,AIRBUS,Airbus,A321 231,A321,3241,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
42459b,VQ-BTM,BOEING,Boeing,757 256/W,B752,26253,,L2J,Royal Flight,,DME,,Royal Flight,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
800b45,VT-BDA,BOEING,Boeing,757 25FPCF,B752,28718,,L2J,Blue Dart Aviation,BLUE DART,BDA,BZ,Blue Dart Aviation,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ab28d7,N818UA,AIRBUS,Airbus Industrie,A319-131,A319,0882,,L2J,,UNITED,UAL,,United Airlines Inc,,,2022-04-30,,1998-01-01,,,IAE V2500SERIES,false,false,false,,Large (75000 to 300000 lbs)
